"","Kommunenummer","Kommunenavn","Formueskatt","Helsefagarbeidere","Sykepleiere","Land","Sted"
"46","3049","Lier",96193000,124,109,"Norge","Lier, Norge"
"47","3050","Flesberg",6932000,9,8,"Norge","Flesberg, Norge"
"48","3051","Rollag",2106000,3,2,"Norge","Rollag, Norge"
"49","3052","Nore og Uvdal",6227000,8,7,"Norge","Nore og Uvdal, Norge"
"50","3053","Jevnaker",10456000,13,12,"Norge","Jevnaker, Norge"
"51","3054","Lunner",13962000,18,16,"Norge","Lunner, Norge"
"52","0301","Oslo",5346909000,6899,6042,"Norge","Oslo, Norge"
"53","3401","Kongsvinger",44401000,57,50,"Norge","Kongsvinger, Norge"
"54","3403","Hamar",70893000,91,80,"Norge","Hamar, Norge"
"55","3405","Lillehammer",76081000,98,86,"Norge","Lillehammer, Norge"
"56","3407","Gjøvik",68982000,89,78,"Norge","Gjøvik, Norge"
"57","3411","Ringsaker",58266000,75,66,"Norge","Ringsaker, Norge"
"58","3412","Løten",7782000,10,9,"Norge","Løten, Norge"
"59","3413","Stange",29475000,38,33,"Norge","Stange, Norge"
"60","3414","Nord-Odal",5871000,8,7,"Norge","Nord-Odal, Norge"
"61","3415","Sør-Odal",13538000,17,15,"Norge","Sør-Odal, Norge"
"62","3416","Eidskog",7707000,10,9,"Norge","Eidskog, Norge"
"63","3417","Grue",7465000,10,8,"Norge","Grue, Norge"
"64","3418","Åsnes",8820000,11,10,"Norge","Åsnes, Norge"
"65","3419","Våler (Innlandet)",4879000,6,6,"Norge","Våler (Innlandet), Norge"
"66","3420","Elverum",32607000,42,37,"Norge","Elverum, Norge"
"67","3421","Trysil",12563000,16,14,"Norge","Trysil, Norge"
"68","3422","Åmot",6459000,8,7,"Norge","Åmot, Norge"
"69","3423","Stor-Elvdal",3647000,5,4,"Norge","Stor-Elvdal, Norge"
"70","3424","Rendalen",2076000,3,2,"Norge","Rendalen, Norge"
"71","3425","Engerdal",1134000,1,1,"Norge","Engerdal, Norge"
"72","3426","Tolga",1304000,2,1,"Norge","Tolga, Norge"
"73","3427","Tynset",8367000,11,9,"Norge","Tynset, Norge"
"74","3428","Alvdal",3410000,4,4,"Norge","Alvdal, Norge"
"75","3429","Folldal",1962000,3,2,"Norge","Folldal, Norge"
"76","3430","Os",4402000,6,5,"Norge","Os, Norge"
"77","3431","Dovre",4371000,6,5,"Norge","Dovre, Norge"
"78","3432","Lesja",3029000,4,3,"Norge","Lesja, Norge"
"79","3433","Skjåk",4520000,6,5,"Norge","Skjåk, Norge"
"80","3434","Lom",4031000,5,5,"Norge","Lom, Norge"
"81","3435","Vågå",5160000,7,6,"Norge","Vågå, Norge"
"82","3436","Nord-Fron",11147000,14,13,"Norge","Nord-Fron, Norge"
"83","3437","Sel",6663000,9,8,"Norge","Sel, Norge"
"84","3438","Sør-Fron",8571000,11,10,"Norge","Sør-Fron, Norge"
"85","3439","Ringebu",10392000,13,12,"Norge","Ringebu, Norge"
"86","3440","Øyer",10325000,13,12,"Norge","Øyer, Norge"
"87","3441","Gausdal",13446000,17,15,"Norge","Gausdal, Norge"
"88","3442","Østre Toten",28066000,36,32,"Norge","Østre Toten, Norge"
"89","3443","Vestre Toten",14744000,19,17,"Norge","Vestre Toten, Norge"
"90","3446","Gran",28990000,37,33,"Norge","Gran, Norge"
"91","3447","Søndre Land",5615000,7,6,"Norge","Søndre Land, Norge"
"92","3448","Nordre Land",8017000,10,9,"Norge","Nordre Land, Norge"
"93","3449","Sør-Aurdal",6049000,8,7,"Norge","Sør-Aurdal, Norge"
"94","3450","Etnedal",2481000,3,3,"Norge","Etnedal, Norge"
"95","3451","Nord-Aurdal",16151000,21,18,"Norge","Nord-Aurdal, Norge"
"96","3452","Vestre Slidre",7512000,10,8,"Norge","Vestre Slidre, Norge"
"97","3453","Øystre Slidre",9490000,12,11,"Norge","Øystre Slidre, Norge"
"98","3454","Vang",3998000,5,5,"Norge","Vang, Norge"
"99","3801","Horten",47065000,61,53,"Norge","Horten, Norge"
"100","3802","Holmestrand",52639000,68,59,"Norge","Holmestrand, Norge"
"101","3803","Tønsberg",151860000,196,172,"Norge","Tønsberg, Norge"
"102","3804","Sandefjord",179084000,231,202,"Norge","Sandefjord, Norge"
"103","3805","Larvik",132128000,170,149,"Norge","Larvik, Norge"
"104","3806","Porsgrunn",67041000,87,76,"Norge","Porsgrunn, Norge"
"105","3807","Skien",96866000,125,109,"Norge","Skien, Norge"
"106","3808","Notodden",22402000,29,25,"Norge","Notodden, Norge"
"107","3811","Færder",95392000,123,108,"Norge","Færder, Norge"
"108","3812","Siljan",2418000,3,3,"Norge","Siljan, Norge"
"109","3813","Bamble",24782000,32,28,"Norge","Bamble, Norge"
"110","3814","Kragerø",27514000,36,31,"Norge","Kragerø, Norge"
"111","3815","Drangedal",4041000,5,5,"Norge","Drangedal, Norge"
"112","3816","Nome",13025000,17,15,"Norge","Nome, Norge"
"113","3817","Midt-Telemark",20720000,27,23,"Norge","Midt-Telemark, Norge"
"114","3818","Tinn",8718000,11,10,"Norge","Tinn, Norge"
"115","3819","Hjartdal",4588000,6,5,"Norge","Hjartdal, Norge"
"116","3820","Seljord",7099000,9,8,"Norge","Seljord, Norge"
"117","3821","Kviteseid",6229000,8,7,"Norge","Kviteseid, Norge"
"118","3822","Nissedal",2491000,3,3,"Norge","Nissedal, Norge"
"119","3823","Fyresdal",1566000,2,2,"Norge","Fyresdal, Norge"
"120","3824","Tokke",3650000,5,4,"Norge","Tokke, Norge"
"121","3825","Vinje",10961000,14,12,"Norge","Vinje, Norge"
"122","4201","Risør",15458000,20,17,"Norge","Risør, Norge"
"123","4202","Grimstad",69893000,90,79,"Norge","Grimstad, Norge"
"124","4203","Arendal",81280000,105,92,"Norge","Arendal, Norge"
"125","4204","Kristiansand",301701000,389,341,"Norge","Kristiansand, Norge"
"126","4205","Lindesnes",39673000,51,45,"Norge","Lindesnes, Norge"
"127","4206","Farsund",19885000,26,22,"Norge","Farsund, Norge"
"128","4207","Flekkefjord",16351000,21,18,"Norge","Flekkefjord, Norge"
"129","4211","Gjerstad",1836000,2,2,"Norge","Gjerstad, Norge"
"130","4212","Vegårshei",2198000,3,2,"Norge","Vegårshei, Norge"
"131","4213","Tvedestrand",9900000,13,11,"Norge","Tvedestrand, Norge"
"132","4214","Froland",7322000,9,8,"Norge","Froland, Norge"
"133","4215","Lillesand",37924000,49,43,"Norge","Lillesand, Norge"
"134","4216","Birkenes",6308000,8,7,"Norge","Birkenes, Norge"
"135","4217","Åmli",4053000,5,5,"Norge","Åmli, Norge"
"136","4218","Iveland",1197000,2,1,"Norge","Iveland, Norge"
"137","4219","Evje og Hornnes",6596000,9,7,"Norge","Evje og Hornnes, Norge"
"138","4220","Bygland",1765000,2,2,"Norge","Bygland, Norge"
"139","4221","Valle",2418000,3,3,"Norge","Valle, Norge"
"140","4222","Bykle",3272000,4,4,"Norge","Bykle, Norge"
"141","4223","Vennesla",14225000,18,16,"Norge","Vennesla, Norge"
"142","4224","Åseral",1162000,1,1,"Norge","Åseral, Norge"
"143","4225","Lyngdal",16432000,21,19,"Norge","Lyngdal, Norge"
"144","4226","Hægebostad",2838000,4,3,"Norge","Hægebostad, Norge"
"145","4227","Kvinesdal",6826000,9,8,"Norge","Kvinesdal, Norge"
"146","4228","Sirdal",4266000,6,5,"Norge","Sirdal, Norge"
"147","1101","Eigersund",55090000,71,62,"Norge","Eigersund, Norge"
"148","1103","Stavanger",6.98e+08,901,789,"Norge","Stavanger, Norge"
"149","1106","Haugesund",87914000,113,99,"Norge","Haugesund, Norge"
"150","1108","Sandnes",193231000,249,218,"Norge","Sandnes, Norge"
"151","1111","Sokndal",5293000,7,6,"Norge","Sokndal, Norge"
"152","1112","Lund",7984000,10,9,"Norge","Lund, Norge"
"153","1114","Bjerkreim",6835000,9,8,"Norge","Bjerkreim, Norge"
"154","1119","Hå",36221000,47,41,"Norge","Hå, Norge"
"155","1120","Klepp",51202000,66,58,"Norge","Klepp, Norge"
"156","1121","Time",4.6e+07,59,52,"Norge","Time, Norge"
"157","1122","Gjesdal",20025000,26,23,"Norge","Gjesdal, Norge"
"158","1124","Sola",115996000,150,131,"Norge","Sola, Norge"
"159","1127","Randaberg",37475000,48,42,"Norge","Randaberg, Norge"
"160","1130","Strand",23159000,30,26,"Norge","Strand, Norge"
"161","1133","Hjelmeland",5931000,8,7,"Norge","Hjelmeland, Norge"
"162","1134","Suldal",7657000,10,9,"Norge","Suldal, Norge"
"163","1135","Sauda",6191000,8,7,"Norge","Sauda, Norge"
"164","1144","Kvitsøy",969000,1,1,"Norge","Kvitsøy, Norge"
"165","1145","Bokn",1124000,1,1,"Norge","Bokn, Norge"
"166","1146","Tysvær",17981000,23,20,"Norge","Tysvær, Norge"
"167","1149","Karmøy",75802000,98,86,"Norge","Karmøy, Norge"
"168","1151","Utsira",339000,0,0,"Norge","Utsira, Norge"
"169","1160","Vindafjord",52406000,68,59,"Norge","Vindafjord, Norge"
"170","4601","Bergen",1051618000,1357,1188,"Norge","Bergen, Norge"
"171","4602","Kinn",49617000,64,56,"Norge","Kinn, Norge"
"172","4611","Etne",8946000,12,10,"Norge","Etne, Norge"
"173","4612","Sveio",10003000,13,11,"Norge","Sveio, Norge"
"174","4613","Bømlo",36567000,47,41,"Norge","Bømlo, Norge"
"175","4614","Stord",32986000,43,37,"Norge","Stord, Norge"
"176","4615","Fitjar",7530000,10,9,"Norge","Fitjar, Norge"
"177","4616","Tysnes",25665000,33,29,"Norge","Tysnes, Norge"
"178","4617","Kvinnherad",20017000,26,23,"Norge","Kvinnherad, Norge"
"179","4618","Ullensvang",15896000,21,18,"Norge","Ullensvang, Norge"
"180","4619","Eidfjord",2494000,3,3,"Norge","Eidfjord, Norge"
"181","4620","Ulvik",1240000,2,1,"Norge","Ulvik, Norge"
"182","4621","Voss",31199000,40,35,"Norge","Voss, Norge"
"183","4622","Kvam",16830000,22,19,"Norge","Kvam, Norge"
"184","4623","Samnanger",3510000,5,4,"Norge","Samnanger, Norge"
"185","4624","Bjørnafjorden",51066000,66,58,"Norge","Bjørnafjorden, Norge"
"186","4625","Austevoll",74820000,97,85,"Norge","Austevoll, Norge"
"187","4626","Øygarden",80571000,104,91,"Norge","Øygarden, Norge"
"188","4627","Askøy",42287000,55,48,"Norge","Askøy, Norge"
